sessionId,edge_feature
10,0.739090802
10,0.83211676
10,0.829412854
10,0.767679848
10,0.755439925
10,0.850457953
10,0.852325109
10,0.841944783
10,0.895360789
10,0.794212038
11,0.85236156
11,0.879718492
11,0.820906211
11,0.828933925
11,0.862788799
11,0.904027697
11,0.789648566
11,0.778299239
11,0.905346341
11,0.902149846
11,0.818798523
11,0.754430012
11,0.798722554
11,0.734477203
11,0.827702494
11,0.851736307
11,0.884341461
11,0.80164359
11,0.791155818
11,0.733841937
11,0.811476629
11,0.793251526
11,0.771404265
11,0.768700822
11,0.774642161
11,0.774400542
11,0.804785688
11,0.727177281
11,0.758649541
11,0.73967216
11,0.795942014
11,0.769560826
11,0.723646738
11,0.776000883
11,0.84891119
11,0.807330602
11,0.795744938
11,0.885701316
11,0.724862518
11,0.859856425
11,0.726886088
11,0.75568092
11,0.732836238
11,0.772651993
11,0.759808723
11,0.73412989
11,0.895487072
11,0.77533181
11,0.774937672
11,0.82124757
11,0.818675682
12,0.93023567
12,0.946076156
12,0.946144591
12,0.857016996
12,0.926487169
12,0.903989387
12,0.820804062
12,0.875940888
12,0.887036573
12,0.918921917
12,0.781623526
12,0.746586407
12,0.773712236
12,0.808404925
12,0.828062004
12,0.902340668
12,0.78891754
12,0.785907913
12,0.770333338
12,0.753499446
12,0.744882517
12,0.728580448
12,0.743580928
12,0.765283044
12,0.773810464
12,0.729113257
12,0.772014538
12,0.721267847
12,0.747584462
12,0.828357301
12,0.769701496
12,0.758955872
12,0.763548576
12,0.803649154
12,0.794756432
12,0.751289994
12,0.878694518
12,0.748706715
12,0.734922872
12,0.769789473
12,0.742458512
12,0.749225507
12,0.886632555
12,0.773493472
12,0.761866187
12,0.790290483
12,0.727516553
12,0.752608278
12,0.778282595
12,0.726923777
12,0.895179656
12,0.720161414
12,0.74586625
12,0.724862296
12,0.794583103
12,0.863889183
12,0.857483434
12,0.886030926
13,0.864132484
13,0.843032053
13,0.725270542
13,0.80068415
13,0.870827521
13,0.738283355
13,0.741831473
13,0.877447989
13,0.745546415
13,0.765234152
