sessionId,nodeId,degree,cluster,efficiency
371,12,0,0,0
371,13,0,0,0
371,14,0,0,0
371,15,0,0,0
371,16,0,0,0
371,17,0,0,0
371,18,0,0,0
371,19,0,0,0
371,20,0,0,0
371,21,0,0,0
371,22,0,0,0.043478261
371,23,0,0,0.043478261
371,24,0,0,0
372,1,0,1,0.283333333
372,2,0.101449275,0.6,0.402173913
372,3,0,0.6,0.402173913
372,4,0.202898551,0.466666667,0.43115942
372,5,0.101449275,0.466666667,0.402898551
372,6,0.297101449,0.166666667,0.342028986
372,7,0,0,0.043478261
372,8,0,1,0.255797101
372,9,0,0,0
372,10,0,1,0.255797101
372,11,0,0,0.043478261
372,12,0,0,0
372,13,0,0,0
372,14,0,0,0
372,15,0,0,0
372,16,0,0,0.255072464
372,17,0,0,0.234057971
372,18,0,0,0.220289855
372,19,0.427536232,0,0.373188406
372,20,0.108695652,0,0.301449275
372,21,0.442028986,0.333333333,0.449275362
372,22,0,0.6,0.394927536
372,23,0,1,0.319565217
372,24,0.101449275,0.666666667,0.362318841
373,1,0.072463768,0.688888889,0.514492754
373,2,0,1,0.43115942
373,3,0.094202899,0.678571429,0.471014493
373,4,0,1,0.43115942
373,5,0,0,0.278985507
373,6,0.094202899,0,0.304347826
373,7,0,0,0.043478261
373,8,0,0,0
373,9,0,0,0.043478261
373,10,0,0,0.217391304
373,11,0,0,0
373,12,0,0,0
373,13,0,0,0
373,14,0,0,0
373,15,0,0,0
373,16,0,0,0
373,17,0,1,0.315217391
373,18,0,1,0.326086957
373,19,0.217391304,0.523809524,0.456521739
373,20,0.094202899,0.688888889,0.514492754
373,21,0.028985507,0.688888889,0.514492754
373,22,0,0.928571429,0.460144928
373,23,0,0.928571429,0.460144928
373,24,0.036231884,0.833333333,0.492753623
374,1,0.289855072,0.5,0.362318841
374,2,0,0.666666667,0.31884058
374,3,0.007246377,0.833333333,0.31884058
374,4,0.253623188,0.466666667,0.376811594
374,5,0,1,0.297101449
374,6,0,0.666666667,0.271014493
374,7,0,0.666666667,0.292753623
374,8,0.007246377,0.666666667,0.242028986
374,9,0.166666667,0.166666667,0.314492754
374,10,0.144927536,0.5,0.292753623
374,11,0,0,0.20942029
374,12,0.260869565,0.333333333,0.311594203
374,13,0,1,0.220289855
374,14,0,0,0.20942029
374,15,0,0,0
374,16,0,0,0
374,17,0,0,0.152173913
374,18,0,0,0.15942029
