sessionId,edge_feature
187,0.864234573
187,0.922333862
187,0.754385464
187,0.823093136
187,0.794422536
187,0.728410027
187,0.776032946
187,0.849970072
187,0.776731262
187,0.844029466
187,0.775252874
187,0.772599758
187,0.736451416
187,0.812224447
187,0.755295593
187,0.824229451
187,0.817521355
187,0.846466674
187,0.780431197
187,0.743649472
187,0.781698919
187,0.735809114
187,0.787638418
187,0.721366224
187,0.752648584
187,0.838194286
187,0.722328
187,0.841023447
187,0.82950148
187,0.810737929
187,0.804110516
187,0.80951912
187,0.853017227
187,0.79567881
187,0.858468143
187,0.821406981
187,0.86734659
187,0.767308101
187,0.88421742
187,0.753168751
187,0.801739393
187,0.938536247
187,0.904906896
187,0.904028864
187,0.844700525
187,0.795309671
187,0.802911718
187,0.888126683
187,0.780771055
187,0.818954927
187,0.802202735
187,0.848122387
187,0.767067851
187,0.759574058
187,0.744714641
187,0.861190999
187,0.746121006
187,0.816234486
187,0.804538197
187,0.867383584
187,0.812833347
187,0.732175534
187,0.720157406
187,0.72791749
187,0.792473932
187,0.797461853
187,0.846595072
187,0.884088772
187,0.889717038
187,0.920823889
187,0.87156793
187,0.773151725
187,0.754398029
187,0.760581984
187,0.780969188
187,0.809376511
187,0.903114236
187,0.836190074
187,0.926361571
187,0.837392248
187,0.840285316
187,0.885224525
187,0.832588626
187,0.736453704
187,0.746531052
187,0.724810519
187,0.829208659
187,0.795702081
187,0.940723135
187,0.928871647
187,0.920673741
188,0.873548814
188,0.831446499
188,0.749608758
188,0.744945433
188,0.740076527
188,0.831737727
188,0.737274117
188,0.847809539
188,0.836546403
188,0.797704328
188,0.777570582
188,0.725515901
188,0.791310447
188,0.732739078
188,0.726951533
188,0.835603154
188,0.759277383
188,0.742956022
188,0.77800977
188,0.796968515
188,0.780635278
188,0.745109159
188,0.738414285
188,0.814738702
188,0.768318705
188,0.779898951
188,0.780893281
188,0.7552111
188,0.722335956
188,0.834920659
188,0.824208596
188,0.8388386
188,0.809311108
188,0.815625222
188,0.852621007
188,0.779392324
188,0.755537027
188,0.834421818
188,0.760781316
188,0.730118652
188,0.831493248
188,0.74023547
188,0.772374218
188,0.767734636
188,0.742221772
188,0.758908757
188,0.781301288
188,0.741568202
188,0.761198308
188,0.833778555
188,0.839219621
188,0.776952144
188,0.749105281
188,0.727856059
188,0.886921667
188,0.801854378
188,0.89873654
188,0.727471719
188,0.821062412
188,0.875043945
188,0.816518659
189,0.880487957
189,0.901540183
189,0.788930335
189,0.840889641
189,0.845289439
189,0.817767714
189,0.777312503
189,0.849951143
189,0.781454425
189,0.797796313
189,0.753622413
189,0.746760548
189,0.848709659
189,0.725207317
189,0.733028729
189,0.732328452
189,0.75779536
189,0.795982035
189,0.75873266
189,0.768337696
189,0.789167662
189,0.787903749
189,0.753197801
189,0.73606274
189,0.721631792
189,0.740451075
189,0.797049162
189,0.816055886
189,0.740495744
189,0.814827516
189,0.732085445
189,0.767590937
189,0.837441611
189,0.856072579
189,0.838562283
189,0.806224962
189,0.830963042
189,0.730107128
189,0.76876333
189,0.827565706
189,0.763321957
189,0.741998317
189,0.726166435
189,0.789098607
189,0.738288292
189,0.730076059
189,0.814700296
189,0.897721995
189,0.75341179
189,0.740073771
189,0.7655049
189,0.777657602
189,0.781407406
189,0.76988881
189,0.821364485
189,0.885507689
189,0.849049014
190,0.855450904
190,0.863703157
190,0.785395453
190,0.803196768
190,0.78486072
190,0.83511937
190,0.757061633
190,0.744925263
190,0.735440028
190,0.762299441
190,0.785464839
190,0.824511625
190,0.723450999
190,0.825596757
190,0.779609632
190,0.751893418
190,0.748023233
190,0.868331596
190,0.88928704
190,0.743831379
190,0.808935031
190,0.817253295
190,0.738010869
190,0.76333284
190,0.782667674
190,0.747621193
190,0.822352577
190,0.733620574
190,0.730719229
190,0.818924783
190,0.821882391
190,0.791485655
190,0.738122982
190,0.848798658
190,0.832618344
190,0.742514125
190,0.813530295
190,0.877907636
190,0.818062228
191,0.725424802
191,0.757716833
191,0.810579286
191,0.744768531
191,0.746390236
191,0.869334842
191,0.811424226
191,0.752021321
191,0.720395298
191,0.781546919
191,0.782333847
191,0.800940974
191,0.77268105
191,0.846048247
192,0.900668398
192,0.916087842
192,0.899557653
192,0.75621534
192,0.874699959
192,0.84075486
192,0.739278688
192,0.805110248
192,0.823848721
192,0.852242003
192,0.765814406
192,0.752058355
192,0.787211798
192,0.722189196
192,0.773718885
192,0.75243502
192,0.797352863
192,0.811562459
192,0.730191062
192,0.72511143
192,0.826836391
192,0.725738373
192,0.800123241
192,0.755780183
192,0.76003022
192,0.728244663
192,0.888385282
192,0.772091885
192,0.835108624
192,0.922429696
192,0.772251822
193,0.865217518
193,0.86499537
193,0.735639613
193,0.7973276
193,0.899147704
193,0.732534667
193,0.786092861
193,0.888326399
193,0.735143153
193,0.781854866
193,0.794060651
193,0.772444667
193,0.77050327
193,0.738189381
193,0.80373331
193,0.749584964
193,0.777804183
193,0.851699101
193,0.831032769
193,0.74943709
193,0.899550064
193,0.874084371
193,0.839430005
193,0.833387873
193,0.746739709
193,0.773690857
193,0.763243009
193,0.763403815
193,0.88798533
193,0.830490939
193,0.812889579
193,0.797305343
193,0.76895639
193,0.769542051
193,0.779424784
193,0.774426383
193,0.932671454
193,0.927606838
193,0.778441407
193,0.790835932
193,0.773321106
193,0.781943162
193,0.743297282
193,0.815115864
193,0.856729728
193,0.819884447
193,0.824305709
193,0.79631417
193,0.808358058
193,0.737275044
193,0.750609607
193,0.829866399
193,0.84543855
193,0.963224058
193,0.824016332
193,0.826754945
193,0.799828397
193,0.795070216
193,0.850325539
193,0.893938689
193,0.949759873
193,0.951151349
193,0.931180859
194,0.89932507
194,0.813277442
194,0.852035246
194,0.77310749
194,0.917171519
194,0.767954038
194,0.754312146
194,0.759158856
194,0.871382188
194,0.850577255
194,0.851772245
194,0.78375732
194,0.860128041
194,0.788650405
194,0.796721581
194,0.824708748
194,0.733710738
194,0.766649099
194,0.769268672
194,0.839032519
194,0.741004382
194,0.804340565
194,0.762886056
194,0.801777886
194,0.900322281
194,0.912692556
194,0.902676964
194,0.794659714
195,0.822869093
195,0.736113372
195,0.748649049
195,0.745650007
195,0.783268245
195,0.727196922
195,0.755720249
195,0.786640819
195,0.885385539
195,0.732086761
195,0.893712311
195,0.840969061
195,0.726665902
196,0.827968401
196,0.888489184
196,0.752350362
196,0.800971507
196,0.72811839
196,0.828805194
196,0.77310101
196,0.84106949
196,0.73207006
196,0.724594584
196,0.777848817
196,0.730182895
196,0.756153995
196,0.771423002
196,0.802180523
196,0.735629215
196,0.767117524
196,0.747967819
196,0.78144589
196,0.745681281
196,0.812174156
196,0.924131313
196,0.74536385
196,0.721062978
196,0.764236637
196,0.8982626
196,0.901516854
196,0.815029141
197,0.922983923
197,0.791901749
197,0.723374547
197,0.818557276
197,0.758174879
197,0.811900268
197,0.784922255
197,0.769453239
197,0.834299817
197,0.852064349
197,0.734654132
197,0.774083665
197,0.781756613
197,0.736663494
197,0.757114205
197,0.733177962
197,0.77160674
197,0.733658512
197,0.778456592
197,0.747576336
197,0.866711244
197,0.829030862
197,0.791815283
197,0.784147578
197,0.771505135
197,0.72116321
197,0.784711047
197,0.828768808
197,0.788965842
197,0.785690337
197,0.775043824
197,0.794636815
197,0.992701029
197,0.810438082
197,0.739780653
197,0.751217438
197,0.780217807
197,0.741931865
197,0.858442332
197,0.851627694
197,0.872892556
197,0.828329346
197,0.79056628
197,0.784513801
197,0.772705245
197,0.786556167
197,0.995956223
197,0.995276833
197,0.861212831
198,0.87649218
198,0.817010762
198,0.805104075
198,0.73674743
198,0.817639084
198,0.856413139
198,0.836777725
198,0.851540969
198,0.792989596
198,0.797405548
198,0.783293338
198,0.778139706
198,0.785846253
198,0.773491962
198,0.843994856
198,0.738546226
198,0.766285809
198,0.752369504
198,0.735571797
198,0.797106404
198,0.780904364
198,0.760608863
198,0.721867434
198,0.775619457
198,0.808441988
198,0.739022908
198,0.736597039
198,0.778186093
198,0.790091915
198,0.751014043
198,0.745152357
198,0.758254709
198,0.735049144
198,0.802493781
198,0.837362314
198,0.801964063
198,0.840546143
198,0.736181138
198,0.83665826
198,0.721193369
198,0.78953589
198,0.892976216
198,0.875700656
198,0.863750547
198,0.842171141
198,0.824779318
198,0.746653788
198,0.750853325
198,0.740111906
198,0.809358774
198,0.855353141
198,0.847643995
198,0.833722765
198,0.824377386
198,0.75748935
198,0.743875826
198,0.813738643
198,0.990558995
198,0.748347123
198,0.762114732
198,0.773740546
198,0.805766247
198,0.801605951
198,0.738993242
198,0.839753171
198,0.843801123
198,0.867194935
198,0.86596856
198,0.853222483
198,0.837494437
198,0.822509327
198,0.753347833
198,0.745421478
198,0.725447844
198,0.810428048
198,0.995806565
198,0.995300914
198,0.854526086
199,0.822484125
199,0.833434484
199,0.739505369
199,0.734746256
199,0.807490139
199,0.864975876
199,0.755431492
199,0.831437136
199,0.860888115
199,0.73889013
199,0.722555013
199,0.743182405
199,0.764525778
199,0.817330036
199,0.81309516
199,0.819707557
199,0.749540178
199,0.794636217
199,0.883818575
199,0.720069582
199,0.87165
199,0.853094016
200,0.741602853
200,0.823164327
200,0.822551378
200,0.751556894
200,0.760829955
200,0.731102545
200,0.764967164
200,0.770253111
200,0.790527392
200,0.869737016
200,0.726555084
200,0.869297368
200,0.769322337
200,0.829040406
200,0.761169921
200,0.890262538
200,0.905812545
200,0.753395385
201,0.766166503
201,0.867349138
201,0.971674688
201,0.833969682
201,0.855317024
201,0.820858958
201,0.758971323
201,0.726446526
201,0.729687697
201,0.747612792
201,0.742076518
201,0.724564221
201,0.848794525
201,0.874226761
202,0.767052237
202,0.838543215
202,0.755566147
202,0.758414219
202,0.774220891
202,0.77672878
202,0.744659577
202,0.876655131
202,0.873995184
202,0.805882838
202,0.783320898
202,0.767554114
202,0.773392228
202,0.788595111
202,0.731421357
202,0.794970111
202,0.810290032
202,0.772465295
202,0.761542561
202,0.894460938
202,0.89542669
203,0.770492963
203,0.74105544
203,0.78174483
203,0.82680028
203,0.736901446
203,0.763903302
203,0.755085331
203,0.742935858
203,0.761601644
203,0.809705727
203,0.822350532
203,0.830062494
203,0.90196226
204,0.81101792
204,0.883150328
204,0.877209677
204,0.818846088
204,0.902669152
204,0.890011272
204,0.758888053
204,0.814494585
204,0.828274438
204,0.76415354
204,0.802698909
204,0.769045431
204,0.72063323
204,0.782302649
204,0.797164696
204,0.741267734
204,0.860183241
204,0.722761682
204,0.730112178
204,0.847873513
204,0.762101608
204,0.850473871
204,0.90241107
204,0.748501307
204,0.857362854
204,0.905881446
204,0.721472794
204,0.826722725
204,0.773541318
204,0.80099118
204,0.756849156
204,0.755659805
204,0.779802229
204,0.753140871
204,0.796921584
204,0.772284311
204,0.84176653
204,0.726592615
204,0.762699286
204,0.819289635
204,0.891476763
204,0.863406142
204,0.749110187
204,0.898577354
204,0.912697086
204,0.770819038
205,0.732985586
205,0.782114791
205,0.787781387
205,0.75271878
205,0.726529326
205,0.737593211
205,0.750373708
205,0.736213933
205,0.730422748
205,0.783146529
205,0.769555448
205,0.754200562
205,0.775047412
205,0.762460479
205,0.761823137
205,0.872126914
205,0.744321562
205,0.834063083
205,0.748058299
205,0.725622588
205,0.777794127
205,0.791824684
205,0.775644345
205,0.766742074
205,0.739647882
205,0.878498936
205,0.897382865
205,0.828702968
205,0.867535181
205,0.876655436
205,0.787234876
206,0.726599326
206,0.753960253
206,0.74856564
206,0.75098603
206,0.725539327
206,0.73987154
206,0.728002784
206,0.766063221
206,0.762585728
206,0.771493244
206,0.725897164
206,0.741856547
206,0.781232636
206,0.872177946
206,0.768645013
206,0.722749378
206,0.778818216
206,0.861453191
206,0.776626568
206,0.738323023
206,0.800618671
206,0.790411509
206,0.813490168
206,0.76424973
206,0.738558382
206,0.856349281
206,0.723164558
206,0.907226705
206,0.866396207
206,0.766597455
206,0.726378193
206,0.867264796
206,0.877702809
